Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2017,249,206,146,1610,151,1553,105,1622,85,1591,550,90,,
2016,73,710,106,1680,120,1599,64,1713,62,1632,421,135,,
2015,95,604,59,1773,70,1691,42,1774,53,1674,,,,
2014,96,565,64,1765,62,1718,60,1717,53,1665,,,,
2013,129,434,65,1766,54,1739,71,1697,50,1677,,,,
2012,58,763,48,1803,49,1748,48,1748,38,1723,,,,
2010,97,562,71,1752,67,1703,68,1702,42,1693,208,345,,
2009,33,1080,42,1823,39,1765,32,1804,39,1693,529,90,129,1452
2008,31,1000,37,1844,36,1802,28,1813,39,1709,118,505,117,1524
2007,25,1320,18,1917,24,1833,11,1904,25,1755,423,115,126,1435
2006,55,723,66,1751,65,1691,44,1756,112,1531,195,295,111,1483
2005,46,738,51,1792,50,1731,46,1764,77,1593,483,80,,
2004,123,361,69,1765,57,1727,52,1748,,,1200,11,,
2003,83,441,71,1750,99,1632,55,1740,113,1539,930,20,,
2002,36,952,19,1930,59,1733,32,1806,46,1678,299,132,,
2001,150,256,141,1635,153,1564,124,1606,,,749,34,,
2000,275,118,294,1424,302,1308,249,1435,,,774,26,,
1999,517,48,,,,,,,,,1357,1,,
1998,1324,1,,,,,,,,,,,,
