Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2021 Wimbledon QF,L vs Hurkacz,34,31,1.1,18.8%,17.1%,29,28,1.0,18.1%,17.5%,11.9%,5.0%,3.0,19.9%,6.6%
2021 Wimbledon R16,W vs Sonego,32,26,1.2,17.2%,14.0%,28,25,1.1,16.0%,14.3%,12.0%,3.4%,0.9,12.4%,14.0%
2021 Wimbledon R32,W vs Norrie,48,33,1.5,19.5%,13.4%,41,33,1.2,18.6%,15.0%,12.3%,5.5%,1.1,13.8%,13.0%
2021 Wimbledon R64,W vs Gasquet,50,26,1.9,26.2%,13.6%,40,26,1.5,22.7%,14.8%,14.2%,6.3%,0.9,10.5%,12.0%
2021 Wimbledon R128,W vs Mannarino,54,45,1.2,22.3%,18.6%,38,42,0.9,17.9%,19.8%,12.3%,5.2%,1.2,14.9%,12.8%
2021 Roland Garros R32,W vs Koepfer,45,62,0.7,14.1%,19.4%,45,62,0.7,15.2%,20.9%,,,1.2,13.8%,11.3%
2021 Roland Garros R64,W vs Cilic,31,26,1.2,13.1%,11.0%,31,26,1.2,15.3%,12.9%,,,0.8,13.1%,16.0%
2021 Roland Garros R128,W vs Istomin,40,20,2.0,26.3%,13.2%,40,20,2.0,29.2%,14.6%,,,1.5,9.9%,6.6%
2021 Doha R16,W vs Evans,58,45,1.3,25.4%,19.7%,45,45,1.0,22.2%,22.2%,12.8%,9.4%,1.7,13.6%,7.9%
2020 Australian Open SF,L vs Djokovic,31,32,1.0,15.0%,15.5%,31,32,1.0,17.6%,18.2%,,,1.2,9.7%,8.3%
2020 Australian Open QF,W vs Sandgren,39,53,0.7,12.1%,16.5%,39,53,0.7,13.9%,18.9%,,,1.0,14.3%,15.0%
2020 Australian Open R16,W vs Fucsovics,39,36,1.1,20.3%,18.8%,39,36,1.1,21.1%,19.5%,,,0.4,7.3%,17.7%
2020 Australian Open R32,W vs Millman,46,76,0.6,12.8%,21.2%,46,76,0.6,14.3%,23.6%,,,0.7,8.1%,12.3%
2020 Australian Open R64,W vs Krajinovic,28,14,2.0,19.3%,9.7%,28,14,2.0,22.4%,11.2%,,,0.8,12.4%,15.2%
2020 Australian Open R128,W vs Johnson,23,19,1.2,16.5%,13.7%,23,19,1.2,18.9%,15.6%,,,0.8,9.4%,12.2%
2019 Tour Finals SF,L vs Tsitsipas,21,27,0.8,14.7%,18.9%,18,27,0.7,13.7%,20.6%,5.3%,8.4%,0.9,12.6%,14.7%
2019 Tour Finals RR,L vs Thiem,25,28,0.9,16.9%,18.9%,20,28,0.7,14.2%,19.9%,7.8%,6.4%,0.8,12.8%,15.5%
2019 Tour Finals RR,W vs Berrettini,23,17,1.4,17.7%,13.1%,14,17,0.8,12.3%,14.9%,7.0%,5.3%,0.8,15.4%,18.5%
2019 Tour Finals RR,W vs Djokovic,23,7,3.3,20.7%,6.3%,11,5,2.2,12.0%,5.4%,7.6%,4.3%,0.8,12.6%,16.2%
2019 Basel F,W vs De Minaur,22,16,1.4,22.9%,16.7%,18,16,1.1,19.8%,17.6%,14.3%,5.5%,0.6,10.4%,18.8%
Career (835 matches),,28559,23063,1.2,19.9%,16.1%,21706,21614,1.0,16.9%,16.9%,9.9%,4.5%,0.8,13.3%,15.9%
